sex	age	address	famsize	Pstatus	Medu	Fedu	Mjob	Fjob	reason	traveltime	studytime	failures	schoolsup	famsup	activities	nursery	internet	romantic	famrel	freetime	goout	health	absences	quiz1	quiz2	grade
F	18	U	GT3	A	4	4	at_home	teacher	course	2	2	0	yes	no	no	yes	no	no	4	3	4	3	6	5	6	F
F	17	U	GT3	T	1	1	at_home	other	course	1	2	0	no	yes	no	no	yes	no	5	3	3	3	4	5	5	F
F	15	U	LE3	T	1	1	at_home	other	other	1	2	3	yes	no	no	yes	yes	no	4	3	2	3	10	7	8	D
F	15	U	GT3	T	4	2	health	services	home	1	3	0	no	yes	yes	yes	yes	yes	3	2	2	5	2	15	14	B
F	16	U	GT3	T	3	3	other	other	home	1	2	0	no	yes	no	yes	no	no	4	3	2	5	4	6	10	D
M	16	U	LE3	T	4	3	services	other	reputation	1	2	0	no	yes	yes	yes	yes	no	5	4	2	5	10	15	15	B
M	16	U	LE3	T	2	2	other	other	home	1	2	0	no	no	no	yes	yes	no	4	4	4	3	0	12	12	D
F	17	U	GT3	A	4	4	other	teacher	home	2	2	0	yes	yes	no	yes	no	no	4	1	4	1	6	6	5	F
M	15	U	LE3	A	3	2	services	other	home	1	2	0	no	yes	no	yes	yes	no	4	2	2	1	0	16	18	A
M	15	U	GT3	T	3	4	other	other	home	1	2	0	no	yes	yes	yes	yes	no	5	5	1	5	0	14	15	B
F	15	U	GT3	T	4	4	teacher	health	reputation	1	2	0	no	yes	no	yes	yes	no	3	3	3	2	0	10	8	F
F	15	U	GT3	T	2	1	services	other	reputation	3	3	0	no	yes	yes	yes	yes	no	5	2	2	4	4	10	12	D
M	15	U	LE3	T	4	4	health	services	course	1	1	0	no	yes	yes	yes	yes	no	4	3	3	5	2	14	14	C
M	15	U	GT3	T	4	3	teacher	other	course	2	2	0	no	yes	no	yes	yes	no	5	4	3	3	2	10	10	D
M	15	U	GT3	A	2	2	other	other	home	1	3	0	no	yes	no	yes	yes	yes	4	5	2	3	0	14	16	B
F	16	U	GT3	T	4	4	health	other	home	1	1	0	no	yes	no	yes	yes	no	4	4	4	2	4	14	14	C
F	16	U	GT3	T	4	4	services	services	reputation	1	3	0	no	yes	yes	yes	yes	no	3	2	3	2	6	13	14	C
F	16	U	GT3	T	3	3	other	other	reputation	3	2	0	yes	yes	yes	yes	no	no	5	3	2	4	4	8	10	D
M	17	U	GT3	T	3	2	services	services	course	1	1	3	no	yes	yes	yes	yes	no	5	5	5	5	16	6	5	F
M	16	U	LE3	T	4	3	health	other	home	1	1	0	no	no	yes	yes	yes	no	3	1	3	5	4	8	10	D
M	15	U	GT3	T	4	3	teacher	other	reputation	1	2	0	no	no	no	yes	yes	no	4	4	1	1	0	13	14	B
M	15	U	GT3	T	4	4	health	health	other	1	1	0	no	yes	no	yes	yes	no	5	4	2	5	0	12	15	B
M	16	U	LE3	T	4	2	teacher	other	course	1	2	0	no	no	yes	yes	yes	no	4	5	1	5	2	15	15	B
M	16	U	LE3	T	2	2	other	other	reputation	2	2	0	no	yes	yes	yes	yes	no	5	4	4	5	0	13	13	D
F	15	R	GT3	T	2	4	services	health	course	1	3	0	yes	yes	yes	yes	yes	no	4	3	2	5	2	10	9	F
F	16	U	GT3	T	2	2	services	services	home	1	1	2	no	yes	no	no	yes	no	1	2	2	5	14	6	9	F
M	15	U	GT3	T	2	2	other	other	home	1	1	0	no	yes	no	yes	yes	no	4	2	2	5	2	12	12	D
M	15	U	GT3	T	4	2	health	services	other	1	1	0	no	no	no	yes	yes	no	2	2	4	1	4	15	16	B
M	16	U	LE3	A	3	4	services	other	home	1	2	0	yes	yes	yes	yes	yes	no	5	3	3	5	4	11	11	D
M	16	U	GT3	T	4	4	teacher	teacher	home	1	2	0	no	yes	yes	yes	yes	yes	4	4	5	5	16	10	12	D
M	15	U	GT3	T	4	4	health	services	home	1	2	0	no	yes	no	no	yes	no	5	4	2	5	0	9	11	D
M	15	U	GT3	T	4	4	services	services	reputation	2	2	0	no	yes	yes	yes	yes	no	4	3	1	5	0	17	16	A
M	15	R	GT3	T	4	3	teacher	at_home	course	1	2	0	no	yes	yes	yes	yes	yes	4	5	2	5	0	17	16	B
