gender	age	address	famsize	Pstatus	Medu	Fedu	Mjob	Fjob	reason	traveltime	studytime	failures	schoolsup	famsup	activities	nursery	internet	romantic	famrel	freetime	goout	health	absences	quiz1	quiz2	grade
F	18	U	GT3	A	4	4	at_home	teacher	course	2	2	0	yes	no	no	yes	no	no	4	3	4	3	4	0	11	D
F	17	U	GT3	T	1	1	at_home	other	course	1	2	0	no	yes	no	no	yes	no	5	3	3	3	2	9	11	D
F	15	U	LE3	T	1	1	at_home	other	other	1	2	0	yes	no	no	yes	yes	no	4	3	2	3	6	12	13	D
F	15	U	GT3	T	4	2	health	services	home	1	3	0	no	yes	yes	yes	yes	yes	3	2	2	5	0	14	14	C
F	16	U	GT3	T	3	3	other	other	home	1	2	0	no	yes	no	yes	no	no	4	3	2	5	0	11	13	C
M	16	U	LE3	T	4	3	services	other	reputation	1	2	0	no	yes	yes	yes	yes	no	5	4	2	5	6	12	12	C
M	16	U	LE3	T	2	2	other	other	home	1	2	0	no	no	no	yes	yes	no	4	4	4	3	0	13	12	C
F	17	U	GT3	A	4	4	other	teacher	home	2	2	0	yes	yes	no	yes	no	no	4	1	4	1	2	10	13	C
M	15	U	LE3	A	3	2	services	other	home	1	2	0	no	yes	no	yes	yes	no	4	2	2	1	0	15	16	A
M	15	U	GT3	T	3	4	other	other	home	1	2	0	no	yes	yes	yes	yes	no	5	5	1	5	0	12	12	C
F	15	U	GT3	T	4	4	teacher	health	reputation	1	2	0	no	yes	no	yes	yes	no	3	3	3	2	2	14	14	C
F	15	U	GT3	T	2	1	services	other	reputation	3	3	0	no	yes	yes	yes	yes	no	5	2	2	4	0	10	12	C
M	15	U	LE3	T	4	4	health	services	course	1	1	0	no	yes	yes	yes	yes	no	4	3	3	5	0	12	13	D
M	15	U	GT3	T	4	3	teacher	other	course	2	2	0	no	yes	no	yes	yes	no	5	4	3	3	0	12	12	C
M	15	U	GT3	A	2	2	other	other	home	1	3	0	no	yes	no	yes	yes	yes	4	5	2	3	0	14	14	B
F	16	U	GT3	T	4	4	health	other	home	1	1	0	no	yes	no	yes	yes	no	4	4	4	2	6	17	17	A
F	16	U	GT3	T	4	4	services	services	reputation	1	3	0	no	yes	yes	yes	yes	no	3	2	3	2	10	13	13	C
