gender	traveltime	studytime	failures	activities	freetime	goout	health	absences	quiz1	quiz2	grade
F	2	2	0	no	3	4	3	6	5	6	F
F	1	2	0	no	3	3	3	4	5	5	F
F	1	2	3	no	3	2	3	10	7	8	D
F	1	3	0	yes	2	2	5	2	15	14	B
F	1	2	0	no	3	2	5	4	6	10	D
M	1	2	0	yes	4	2	5	10	15	15	B
M	1	2	0	no	4	4	3	0	12	12	D
F	2	2	0	no	1	4	1	6	6	5	F
M	1	2	0	no	2	2	1	0	16	18	A
M	1	2	0	yes	5	1	5	0	14	15	B
F	1	2	0	no	3	3	2	0	10	8	F
F	3	3	0	yes	2	2	4	4	10	12	D
M	1	1	0	yes	3	3	5	2	14	14	C
M	2	2	0	no	4	3	3	2	10	10	D
M	1	3	0	no	5	2	3	0	14	16	B
F	1	1	0	no	4	4	2	4	14	14	C
F	1	3	0	yes	2	3	2	6	13	14	C
F	3	2	0	yes	3	2	4	4	8	10	D
M	1	1	3	yes	5	5	5	16	6	5	F
M	1	1	0	yes	1	3	5	4	8	10	D
M	1	2	0	no	4	1	1	0	13	14	B
M	1	1	0	no	4	2	5	0	12	15	B
M	1	2	0	yes	5	1	5	2	15	15	B
M	2	2	0	yes	4	4	5	0	13	13	D
F	1	3	0	yes	3	2	5	2	10	9	F
F	1	1	2	no	2	2	5	14	6	9	F
M	1	1	0	no	2	2	5	2	12	12	D
M	1	1	0	no	2	4	1	4	15	16	B
M	1	2	0	yes	3	3	5	4	11	11	D
M	1	2	0	yes	4	5	5	16	10	12	D
M	1	2	0	no	4	2	5	0	9	11	D
M	2	2	0	yes	3	1	5	0	17	16	A
M	1	2	0	yes	5	2	5	0	17	16	B
M	1	2	0	yes	3	2	2	0	8	10	D
M	1	1	0	no	4	3	5	0	12	14	B
F	2	1	0	yes	5	1	5	0	8	7	F
M	1	3	0	yes	4	3	4	2	15	16	A
M	2	3	0	yes	4	3	5	7	15	16	B
F	1	3	0	yes	3	2	5	2	12	12	D
F	1	1	0	yes	3	1	2	8	14	13	C
F	2	2	1	yes	3	3	3	25	7	10	D
M	1	1	0	no	4	3	5	8	12	12	D
M	1	2	0	yes	3	3	5	2	19	18	A
M	1	1	0	no	4	1	1	0	8	8	D
F	2	2	1	yes	3	3	5	14	10	10	F
F	1	2	0	yes	2	2	5	8	8	8	F
F	1	2	0	no	3	5	3	12	11	12	D
M	1	4	0	yes	2	2	2	4	19	19	A
M	1	2	0	no	3	3	5	2	15	15	C
F	1	2	1	yes	4	4	3	2	7	7	F
F	3	2	0	no	3	3	4	2	12	13	C
F	1	2	0	no	3	3	5	2	11	13	C
M	2	1	1	no	5	5	5	6	11	11	D
F	1	1	0	no	3	4	5	0	8	10	D
F	1	1	0	no	3	4	1	6	10	13	C
F	1	2	0	yes	3	4	2	8	8	9	D
F	1	2	0	yes	3	2	1	0	14	15	B
M	1	2	0	yes	2	2	5	4	14	15	B
M	1	2	0	yes	3	2	5	2	9	10	F
F	1	2	0	no	2	3	5	2	15	16	B
F	1	2	0	yes	4	4	4	6	10	11	D
F	4	1	0	yes	5	5	5	6	10	8	D
F	1	2	0	yes	4	3	1	4	8	10	F
F	1	3	0	yes	4	4	4	2	10	9	F
F	1	2	0	yes	4	4	2	0	10	10	D
F	3	2	0	yes	4	3	1	2	16	15	B
M	1	4	0	yes	3	3	3	4	13	13	D
F	1	4	0	no	3	3	5	4	7	7	F
F	2	2	0	no	1	3	4	2	8	9	F
F	2	4	0	no	4	2	3	12	16	16	B
M	2	4	0	no	3	2	5	0	13	15	B
M	1	4	0	no	3	3	3	0	10	10	D
F	1	2	2	no	3	4	5	2	8	6	F
M	1	1	0	yes	3	2	5	2	12	12	C
F	1	2	0	yes	3	3	5	54	11	12	D
M	1	2	0	yes	3	3	5	6	9	9	D
M	2	4	0	yes	4	3	1	8	11	11	D
F	1	4	0	no	2	3	3	0	11	11	D
M	2	1	3	yes	5	1	3	2	8	8	D
F	1	2	0	no	4	3	3	12	5	5	F
M	1	1	0	yes	2	2	3	2	10	12	D
M	1	3	0	no	3	2	5	4	11	10	D
F	1	2	0	no	4	4	5	10	7	6	F
M	2	2	0	yes	3	3	4	4	15	15	B
F	1	2	0	yes	3	2	4	2	9	10	D
F	2	2	2	no	4	4	5	6	7	9	F
F	1	2	0	no	3	4	2	4	8	7	F
F	1	3	0	yes	3	3	1	4	13	14	C
M	2	2	1	yes	4	2	3	12	11	10	D
M	1	2	0	no	1	3	5	18	8	6	F
F	1	3	0	no	3	3	4	0	7	7	F
F	1	1	0	yes	5	5	1	4	16	17	A
F	1	2	0	no	3	3	2	4	7	6	F
F	2	2	0	yes	3	3	1	0	11	10	D
M	1	4	0	yes	3	4	4	6	11	13	C
F	2	4	1	yes	1	2	1	2	7	10	D
M	2	1	0	yes	3	3	4	2	11	15	B
F	1	2	0	no	3	5	5	2	8	9	D
F	1	1	0	yes	3	4	1	6	11	14	C
F	1	3	0	no	3	5	3	0	7	9	F
M	1	1	0	yes	5	5	4	14	7	7	F
M	1	3	0	yes	4	3	4	0	16	17	A
M	1	1	0	yes	3	3	5	4	10	13	C
F	2	2	0	no	3	5	2	26	7	6	F
M	1	2	0	yes	4	4	1	0	16	18	A
F	1	4	0	no	3	3	4	10	10	11	D
F	1	4	0	no	1	2	3	8	7	8	F
M	1	3	0	yes	3	3	5	2	16	18	A
M	4	4	0	yes	3	5	1	6	10	13	C
F	1	3	0	yes	4	5	4	4	14	15	B
M	1	1	0	yes	5	3	4	6	18	19	A
F	1	3	1	yes	1	2	2	0	7	10	D
F	1	2	1	yes	1	2	5	6	10	13	C
M	1	1	0	no	5	2	3	10	18	19	A
M	1	2	0	yes	4	2	5	8	9	9	F
M	1	2	0	yes	4	4	5	2	15	15	B
M	2	2	0	yes	4	3	2	2	11	13	C
M	2	1	0	yes	4	2	5	0	13	14	C
M	3	2	1	yes	2	4	5	20	9	7	F
M	1	1	0	no	4	3	4	6	14	13	C
F	1	2	0	no	2	3	1	2	16	15	B
M	1	4	0	yes	5	4	5	6	16	14	B
F	2	2	0	yes	2	2	5	2	13	13	C
M	1	1	0	yes	4	4	5	18	14	11	C
F	1	2	0	no	4	4	5	0	8	7	F
M	1	1	0	no	5	5	5	0	13	13	D
F	1	2	0	yes	3	2	1	0	7	10	D
F	1	2	3	no	4	2	5	2	7	8	F
